groupi	groupj	w
tectviridae	terminase1	1
tectviridae	terminase10	1
tectviridae	terminase11	1
tectviridae	terminase12	2
tectviridae	terminase13	1
tectviridae	terminase14	1
tectviridae	terminase15	1
tectviridae	terminase16	1
tectviridae	terminase17	1
tectviridae	terminase18	1
tectviridae	terminase2	1
tectviridae	terminase22	1
tectviridae	terminase23	1
tectviridae	terminase24	1
tectviridae	terminase25	1
tectviridae	terminase26	1
tectviridae	terminase28	1
tectviridae	terminase29	1
tectviridae	terminase3	1
tectviridae	terminase31	1
tectviridae	terminase32	1
tectviridae	terminase33	1
tectviridae	terminase34	1
tectviridae	terminase38	1
tectviridae	terminase39	1
tectviridae	terminase4	1
tectviridae	terminase44	1
tectviridae	terminase5	1
tectviridae	terminase6	1
tectviridae	terminase7	1
tectviridae	terminase8	1
tectviridae	terminase9	1
terminase1	terminase10	2
terminase1	terminase11	12
terminase1	terminase12	1
terminase1	terminase13	25
terminase1	terminase14	28
terminase1	terminase15	8
terminase1	terminase16	21
terminase1	terminase17	1
terminase1	terminase18	10
terminase1	terminase2	7
terminase1	terminase22	17
terminase1	terminase23	7
terminase1	terminase24	15
terminase1	terminase25	14
terminase1	terminase26	5
terminase1	terminase28	3
terminase1	terminase29	2
terminase1	terminase3	42
terminase1	terminase31	6
terminase1	terminase32	1
terminase1	terminase33	3
terminase1	terminase34	3
terminase1	terminase38	4
terminase1	terminase39	7
terminase1	terminase4	2
terminase1	terminase44	11
terminase1	terminase5	36
terminase1	terminase6	23
terminase1	terminase7	26
terminase1	terminase8	53
terminase1	terminase9	20
terminase10	terminase11	2
terminase10	terminase12	1
terminase10	terminase13	1
terminase10	terminase14	5
terminase10	terminase15	2
terminase10	terminase16	1
terminase10	terminase17	1
terminase10	terminase18	1
terminase10	terminase2	1
terminase10	terminase22	1
terminase10	terminase23	1
terminase10	terminase24	1
terminase10	terminase25	1
terminase10	terminase26	1
terminase10	terminase28	1
terminase10	terminase29	1
terminase10	terminase3	2
terminase10	terminase31	1
terminase10	terminase32	1
terminase10	terminase33	1
terminase10	terminase34	1
terminase10	terminase38	1
terminase10	terminase39	1
terminase10	terminase4	2
terminase10	terminase44	1
terminase10	terminase5	2
terminase10	terminase6	1
terminase10	terminase7	1
terminase10	terminase8	2
terminase10	terminase9	1
terminase11	terminase12	1
terminase11	terminase13	6
terminase11	terminase14	13
terminase11	terminase15	9
terminase11	terminase16	5
terminase11	terminase17	1
terminase11	terminase18	3
terminase11	terminase2	6
terminase11	terminase22	2
terminase11	terminase23	2
terminase11	terminase24	6
terminase11	terminase25	5
terminase11	terminase26	1
terminase11	terminase28	3
terminase11	terminase29	1
terminase11	terminase3	7
terminase11	terminase31	5
terminase11	terminase32	8
terminase11	terminase33	1
terminase11	terminase34	2
terminase11	terminase38	2
terminase11	terminase39	4
terminase11	terminase4	2
terminase11	terminase44	6
terminase11	terminase5	9
terminase11	terminase6	5
terminase11	terminase7	8
terminase11	terminase8	7
terminase11	terminase9	5
terminase12	terminase13	1
terminase12	terminase14	1
terminase12	terminase15	1
terminase12	terminase16	2
terminase12	terminase17	1
terminase12	terminase18	1
terminase12	terminase2	1
terminase12	terminase22	2
terminase12	terminase23	1
terminase12	terminase24	1
terminase12	terminase25	1
terminase12	terminase26	1
terminase12	terminase28	1
terminase12	terminase29	1
terminase12	terminase3	1
terminase12	terminase31	1
terminase12	terminase32	1
terminase12	terminase33	1
terminase12	terminase34	1
terminase12	terminase38	1
terminase12	terminase39	1
terminase12	terminase4	1
terminase12	terminase44	2
terminase12	terminase5	2
terminase12	terminase6	1
terminase12	terminase7	1
terminase12	terminase8	2
terminase12	terminase9	1
terminase13	terminase14	21
terminase13	terminase15	6
terminase13	terminase16	33
terminase13	terminase17	1
terminase13	terminase18	93
terminase13	terminase2	10
terminase13	terminase22	28
terminase13	terminase23	4
terminase13	terminase24	50
terminase13	terminase25	40
terminase13	terminase26	3
terminase13	terminase28	7
terminase13	terminase29	5
terminase13	terminase3	34
terminase13	terminase31	7
terminase13	terminase32	3
terminase13	terminase33	6
terminase13	terminase34	10
terminase13	terminase38	8
terminase13	terminase39	9
terminase13	terminase4	4
terminase13	terminase44	45
terminase13	terminase5	115
terminase13	terminase6	67
terminase13	terminase7	34
terminase13	terminase8	47
terminase13	terminase9	120
terminase14	terminase15	41
terminase14	terminase16	15
terminase14	terminase17	1
terminase14	terminase18	11
terminase14	terminase2	24
terminase14	terminase22	12
terminase14	terminase23	5
terminase14	terminase24	15
terminase14	terminase25	15
terminase14	terminase26	2
terminase14	terminase28	6
terminase14	terminase29	2
terminase14	terminase3	31
terminase14	terminase31	7
terminase14	terminase32	4
terminase14	terminase33	1
terminase14	terminase34	2
terminase14	terminase38	7
terminase14	terminase39	3
terminase14	terminase4	17
terminase14	terminase44	8
terminase14	terminase5	26
terminase14	terminase6	13
terminase14	terminase7	30
terminase14	terminase8	25
terminase14	terminase9	16
terminase15	terminase16	4
terminase15	terminase17	1
terminase15	terminase18	4
terminase15	terminase2	16
terminase15	terminase22	4
terminase15	terminase23	2
terminase15	terminase24	5
terminase15	terminase25	6
terminase15	terminase26	3
terminase15	terminase28	3
terminase15	terminase29	3
terminase15	terminase3	7
terminase15	terminase31	4
terminase15	terminase32	2
terminase15	terminase33	1
terminase15	terminase34	1
terminase15	terminase38	12
terminase15	terminase39	2
terminase15	terminase4	23
terminase15	terminase44	4
terminase15	terminase5	7
terminase15	terminase6	4
terminase15	terminase7	6
terminase15	terminase8	4
terminase15	terminase9	5
terminase16	terminase17	2
terminase16	terminase18	19
terminase16	terminase2	6
terminase16	terminase22	81
terminase16	terminase23	3
terminase16	terminase24	51
terminase16	terminase25	48
terminase16	terminase26	2
terminase16	terminase28	5
terminase16	terminase29	2
terminase16	terminase3	41
terminase16	terminase31	4
terminase16	terminase32	4
terminase16	terminase33	2
terminase16	terminase34	5
terminase16	terminase38	3
terminase16	terminase39	11
terminase16	terminase4	2
terminase16	terminase44	11
terminase16	terminase5	86
terminase16	terminase6	29
terminase16	terminase7	27
terminase16	terminase8	67
terminase16	terminase9	34
terminase17	terminase18	1
terminase17	terminase2	1
terminase17	terminase22	1
terminase17	terminase23	1
terminase17	terminase24	1
terminase17	terminase25	1
terminase17	terminase26	1
terminase17	terminase28	1
terminase17	terminase29	1
terminase17	terminase3	1
terminase17	terminase31	1
terminase17	terminase32	1
terminase17	terminase33	1
terminase17	terminase34	1
terminase17	terminase38	1
terminase17	terminase39	1
terminase17	terminase4	1
terminase17	terminase44	1
terminase17	terminase5	1
terminase17	terminase6	1
terminase17	terminase7	1
terminase17	terminase8	1
terminase17	terminase9	2
terminase18	terminase2	7
terminase18	terminase22	21
terminase18	terminase23	3
terminase18	terminase24	31
terminase18	terminase25	27
terminase18	terminase26	1
terminase18	terminase28	4
terminase18	terminase29	4
terminase18	terminase3	14
terminase18	terminase31	4
terminase18	terminase32	1
terminase18	terminase33	3
terminase18	terminase34	5
terminase18	terminase38	2
terminase18	terminase39	5
terminase18	terminase4	2
terminase18	terminase44	34
terminase18	terminase5	78
terminase18	terminase6	14
terminase18	terminase7	12
terminase18	terminase8	30
terminase18	terminase9	95
terminase2	terminase22	5
terminase2	terminase23	2
terminase2	terminase24	8
terminase2	terminase25	6
terminase2	terminase26	2
terminase2	terminase28	2
terminase2	terminase29	2
terminase2	terminase3	8
terminase2	terminase31	4
terminase2	terminase32	4
terminase2	terminase33	2
terminase2	terminase34	6
terminase2	terminase38	3
terminase2	terminase39	3
terminase2	terminase4	8
terminase2	terminase44	6
terminase2	terminase5	15
terminase2	terminase6	7
terminase2	terminase7	8
terminase2	terminase8	5
terminase2	terminase9	9
terminase22	terminase23	2
terminase22	terminase24	52
terminase22	terminase25	50
terminase22	terminase26	2
terminase22	terminase28	4
terminase22	terminase29	2
terminase22	terminase3	32
terminase22	terminase31	3
terminase22	terminase32	1
terminase22	terminase33	2
terminase22	terminase34	6
terminase22	terminase38	1
terminase22	terminase39	32
terminase22	terminase4	3
terminase22	terminase44	11
terminase22	terminase5	86
terminase22	terminase6	18
terminase22	terminase7	31
terminase22	terminase8	96
terminase22	terminase9	29
terminase23	terminase24	5
terminase23	terminase25	1
terminase23	terminase26	7
terminase23	terminase28	1
terminase23	terminase29	4
terminase23	terminase3	10
terminase23	terminase31	3
terminase23	terminase32	2
terminase23	terminase33	3
terminase23	terminase34	4
terminase23	terminase38	1
terminase23	terminase39	2
terminase23	terminase4	4
terminase23	terminase44	3
terminase23	terminase5	6
terminase23	terminase6	4
terminase23	terminase7	2
terminase23	terminase8	5
terminase23	terminase9	3
terminase24	terminase25	82
terminase24	terminase26	1
terminase24	terminase28	6
terminase24	terminase29	3
terminase24	terminase3	23
terminase24	terminase31	3
terminase24	terminase32	2
terminase24	terminase33	3
terminase24	terminase34	5
terminase24	terminase38	3
terminase24	terminase39	6
terminase24	terminase4	5
terminase24	terminase44	13
terminase24	terminase5	108
terminase24	terminase6	28
terminase24	terminase7	31
terminase24	terminase8	43
terminase24	terminase9	38
terminase25	terminase26	1
terminase25	terminase28	5
terminase25	terminase29	3
terminase25	terminase3	26
terminase25	terminase31	2
terminase25	terminase32	1
terminase25	terminase33	1
terminase25	terminase34	4
terminase25	terminase38	3
terminase25	terminase39	3
terminase25	terminase4	4
terminase25	terminase44	10
terminase25	terminase5	102
terminase25	terminase6	22
terminase25	terminase7	26
terminase25	terminase8	48
terminase25	terminase9	32
terminase26	terminase28	1
terminase26	terminase29	2
terminase26	terminase3	6
terminase26	terminase31	3
terminase26	terminase32	1
terminase26	terminase33	1
terminase26	terminase34	2
terminase26	terminase38	1
terminase26	terminase39	3
terminase26	terminase4	1
terminase26	terminase44	1
terminase26	terminase5	4
terminase26	terminase6	3
terminase26	terminase7	1
terminase26	terminase8	3
terminase26	terminase9	2
terminase28	terminase29	2
terminase28	terminase3	11
terminase28	terminase31	2
terminase28	terminase32	1
terminase28	terminase33	1
terminase28	terminase34	2
terminase28	terminase38	1
terminase28	terminase39	1
terminase28	terminase4	1
terminase28	terminase44	3
terminase28	terminase5	10
terminase28	terminase6	5
terminase28	terminase7	8
terminase28	terminase8	10
terminase28	terminase9	4
terminase29	terminase3	7
terminase29	terminase31	1
terminase29	terminase32	1
terminase29	terminase33	1
terminase29	terminase34	1
terminase29	terminase38	1
